Style-Fabric-Color,Gender,Birth Season,Comm. Category SubGroup,new,vip,revenue
ANELLO METALLO-Gold-Rutenium Ultra Black,Male,Spring / Summer 2018,FASHION JEWELRY,18,1,12223.19261
ANELLO METALLO-Rhodium,Male,Fall / Winter 2014-2015,FASHION JEWELRY,5,2,3241.461502
ANELLO METALLO-rhodium,Male,Fall / Winter 2017-2018,FASHION JEWELRY,5,0,763.7119408
ANELLO METALLO-Satin Warm Gold,Male,Spring  / Summer 2013,FASHION JEWELRY,13,2,5385.932251
ANELLO METALLO-Warm Gold,Male,Spring / Summer 2014,FASHION JEWELRY,18,0,8170.614197
ANELLO SMALTO+METALLO-black- light gold,Female,Spring / Summer 2018,FASHION JEWELRY,4,0,934.9883423
ANELLO SMALTO+METALLO-Black-Palladium,Male,Spring / Summer 2018,FASHION JEWELRY,1,0,337.1018524
ANELLO SMALTO+METALLO-Military Green-Light Gold,Female,Spring / Summer 2018,FASHION JEWELRY,3,0,467.6037064
ANELLO SMALTO+METALLO-Military Green-Rutenium,Male,Spring / Summer 2018,FASHION JEWELRY,2,0,566.1250458
ASTREA TWIST SS 2014-NUL,Unisex,Non Seasonal 2014,LICENSES,0,0,233.7232208
BACKPACK+RUBBER LION BICOLOR AIRMESH+NEOPRENE+MALAGA CALF+V RIBBON+AIR MESH-Black+Black+Black+Black+Black-Matt Black+Nickel,Male,Fall / Winter 2017-2018,BAGS,5,0,2731.720337
BACKPACK+RUBBER LION CAMO PRINTED NYLON+MALAGA CALF+V RIBBON+AIRMESH-Multicolor Red+Black+Black+Black---Matt Black+Nickel,Male,Spring / Summer 2018,BAGS,13,0,7978.681778
BACKPACK+RUBBER LION REPEAT PRINTED NYLON+MALAGA CALF+V RIBBON+AIRMESH-Black-White+Black+Black+Black---Matt Black+Nickel,Male,Fall / Winter 2017-2018,BAGS,2,0,458.8894958
BAG-899+512,Female,Spring / Summer 2018,BAGS,1,0,444.2667694
BAG-BLACK,Female,Spring / Summer 2018,BAGS,2,0,790.9527435
BAG-BLACK,Male,Spring / Summer 2018,BAGS,8,1,3738.020332
BAG-BLACK/MULTI,Female,Spring / Summer 2018,BAGS,3,0,2257.95438
BAG-BLUE ACHELOUS,Male,Spring / Summer 2018,BAGS,8,0,1640.827148
BAG-MINT,Female,Spring / Summer 2018,BAGS,6,0,2286.74791
BAG-ROSA INTIMO,Female,Spring / Summer 2018,BAGS,2,0,1734.615707
BAG-WHITE,Female,Spring / Summer 2018,BAGS,1,0,802.9462585
"BALLERINA T.0,5 NAPPA-Pink-Black-Tribute Gold",Female,Spring / Summer 2018,SHOES,5,0,8518.107727
"BALLERINA T.0,5 VITELLINO-Black",Female,Spring / Summer 2016,SHOES,8,1,12295.85052
"BALLERINA T.0,5 VITELLINO-Black-Gold",Female,Spring / Summer 2014,SHOES,4,3,8825.178101
"BALLERINA T.0,5 VITELLINO-Black-Light Gold",Female,Fall / Winter 2015-2016,SHOES,21,0,28094.94037
"BALLERINA T.0,5 VITELLINO-Black-Tribute Gold",Female,Spring / Summer 2018,SHOES,22,1,41528.48425
"BALLERINA T.0,5 VITELLINO-Fuchsia-Ruthenium",Female,Spring / Summer 2018,SHOES,9,0,11644.96687
"BALLERINA T.0,5 VITELLO+RICAMO BAROCCO-Black-Light Gold",Female,Spring / Summer 2018,SHOES,6,0,10180.00595
BATH ROBE-BLACK,Unisex,Not Seasonal 2016,HOME,16,0,15929.76486
BATH ROBE-GOLD,Unisex,Not Seasonal 2016,HOME,22,0,15762.65405
BATH ROBE-Pink,Unisex,Not Seasonal 2016,HOME,1,0,2605.422913
BATH ROBE-White,Unisex,Not Seasonal 2016,HOME,8,0,6422.001984
BATH SET (5 PIECES)-Light blue,Unisex,Not Seasonal 2016,HOME,1,0,1104.340454
BATH SET (5 PIECES)-White,Unisex,Not Seasonal 2016,HOME,6,0,4446.86525
BATH TOWEL TESSUTO SPUGNA COTONE-GOLD,Unisex,Not Seasonal 2016,HOME,3,0,3618.630341
BATH TOWEL-GOLD-BLACK,Unisex,Not Seasonal 2016,HOME,5,0,2388.159561
BATH TOWEL-White-gold,Unisex,Not Seasonal 2016,HOME,1,0,1169.525558
BEACH TOWEL-Blue,Unisex,Not Seasonal 2016,HOME,1,0,1244.609497
BELT CALF LEATHER-Black Warm Gold,Male,Fall / Winter 2013-2014,BELT,538,7,445728.5505
